sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;wheelSpeed;
1562328523;184740;1562328523;184747;1562328523;184630;0;
1562328523;194744;1562328523;194751;1562328523;194649;0;
1562328523;204373;1562328523;204386;1562328523;204267;0;
1562328523;214715;1562328523;214727;1562328523;214587;0;
1562328523;224710;1562328523;224721;1562328523;224605;0;
1562328523;234737;1562328523;234748;1562328523;234623;0;
1562328523;244745;1562328523;244755;1562328523;244645;0;
1562328523;254556;1562328523;254566;1562328523;254463;0;
1562328523;264721;1562328523;264739;1562328523;264580;0;
1562328523;274717;1562328523;274729;1562328523;274601;0;
1562328523;284421;1562328523;284431;1562328523;284318;0;
1562328523;294731;1562328523;294741;1562328523;294636;0;
1562328523;304631;1562328523;304642;1562328523;304555;0;
1562328523;314674;1562328523;314687;1562328523;314574;0;
1562328523;324657;1562328523;324665;1562328523;324592;0;
1562328523;334523;1562328523;334539;1562328523;334410;0;
1562328523;344726;1562328523;344736;1562328523;344630;0;
1562328523;354610;1562328523;354617;1562328523;354549;0;
1562328523;364335;1562328523;364343;1562328523;364267;0;
1562328523;374641;1562328523;374648;1562328523;374586;0;
1562328523;384664;1562328523;384672;1562328523;384605;0;
1562328523;394681;1562328523;394688;1562328523;394623;0;
1562328523;404711;1562328523;404719;1562328523;404643;0;
1562328523;414534;1562328523;414542;1562328523;414462;0;
1562328523;424631;1562328523;424641;1562328523;424580;0;
1562328523;434667;1562328523;434675;1562328523;434599;0;
1562328523;444455;1562328523;444467;1562328523;444318;0;
1562328523;454734;1562328523;454741;1562328523;454637;0;
1562328523;464714;1562328523;464726;1562328523;464556;0;
1562328523;474695;1562328523;474705;1562328523;474574;0;
1562328523;484749;1562328523;484767;1562328523;484594;0;
1562328523;494515;1562328523;494528;1562328523;494411;0;
1562328523;504749;1562328523;504760;1562328523;504630;0;
1562328523;514623;1562328523;514632;1562328523;514549;0;
1562328523;524361;1562328523;524370;1562328523;524268;0;
1562328523;534672;1562328523;534683;1562328523;534586;0;
1562328523;544674;1562328523;544683;1562328523;544605;0;
1562328523;554735;1562328523;554744;1562328523;554624;0;
1562328523;564660;1562328523;564671;1562328523;564544;0;
1562328523;574593;1562328523;574610;1562328523;574462;0;
1562328523;584677;1562328523;584689;1562328523;584580;0;
1562328523;594700;1562328523;594713;1562328523;594599;0;
1562328523;604392;1562328523;604403;1562328523;604317;0;
1562328523;614708;1562328523;614715;1562328523;614636;0;
1562328523;624635;1562328523;624643;1562328523;624555;0;
1562328523;634664;1562328523;634675;1562328523;634574;0;
1562328523;644678;1562328523;644689;1562328523;644594;0;
1562328523;654521;1562328523;654532;1562328523;654411;0;
1562328523;664727;1562328523;664737;1562328523;664631;0;
1562328523;674636;1562328523;674646;1562328523;674549;0;
1562328523;684376;1562328523;684386;1562328523;684268;0;
1562328523;694685;1562328523;694696;1562328523;694586;0;
1562328523;704679;1562328523;704690;1562328523;704605;0;
1562328523;714734;1562328523;714745;1562328523;714624;0;
1562328523;724662;1562328523;724679;1562328523;724543;0;
1562328523;734561;1562328523;734573;1562328523;734461;0;
1562328523;744695;1562328523;744710;1562328523;744579;0;
1562328523;754710;1562328523;754722;1562328523;754599;0;
1562328523;764459;1562328523;764477;1562328523;764317;0;
1562328523;774749;1562328523;774761;1562328523;774637;0;
1562328523;784700;1562328523;784712;1562328523;784555;0;
1562328523;794697;1562328523;794709;1562328523;794574;0;
1562328523;804666;1562328523;804676;1562328523;804593;0;
1562328523;814523;1562328523;814534;1562328523;814412;0;
1562328523;824763;1562328523;824782;1562328523;824630;0;
1562328523;834657;1562328523;834670;1562328523;834549;0;
1562328523;844346;1562328523;844357;1562328523;844268;0;
1562328523;854666;1562328523;854677;1562328523;854586;0;
1562328523;864736;1562328523;864754;1562328523;864605;0;
1562328523;874745;1562328523;874762;1562328523;874624;0;
1562328523;884631;1562328523;884643;1562328523;884543;0;
1562328523;894567;1562328523;894580;1562328523;894462;0;
1562328523;904698;1562328523;904716;1562328523;904580;0;
1562328523;914755;1562328523;914770;1562328523;914599;0;
1562328523;924258;1562328523;924275;1562328523;924119;0;
1562328523;934739;1562328523;934756;1562328523;934637;0;
1562328523;944664;1562328523;944681;1562328523;944555;0;
1562328523;954719;1562328523;954738;1562328523;954576;0;
1562328523;964712;1562328523;964730;1562328523;964593;0;
1562328523;974510;1562328523;974521;1562328523;974413;0;
1562328523;984734;1562328523;984742;1562328523;984632;0;
1562328523;994680;1562328523;994697;1562328523;994549;0;
1562328524;4361;1562328524;4370;1562328524;4270;0;
1562328524;14649;1562328524;14656;1562328524;14586;0;
1562328524;24728;1562328524;24744;1562328524;24607;0;
1562328524;34726;1562328524;34736;1562328524;34624;0;
1562328524;44672;1562328524;44688;1562328524;44544;0;
1562328524;54606;1562328524;54623;1562328524;54464;0;
1562328524;64690;1562328524;64706;1562328524;64580;0;
1562328524;74847;1562328524;74863;1562328524;74800;0;
1562328524;84239;1562328524;84255;1562328524;84118;0;
1562328524;94677;1562328524;94693;1562328524;94536;0;
1562328524;104638;1562328524;104648;1562328524;104555;0;
1562328524;114712;1562328524;114728;1562328524;114574;0;
1562328524;124681;1562328524;124693;1562328524;124593;0;
1562328524;134521;1562328524;134533;1562328524;134412;0;
1562328524;144664;1562328524;144681;1562328524;144530;0;
1562328524;154675;1562328524;154692;1562328524;154550;0;
1562328524;164397;1562328524;164414;1562328524;164268;0;
1562328524;174707;1562328524;174719;1562328524;174586;0;
1562328524;184723;1562328524;184735;1562328524;184605;0;
1562328524;194696;1562328524;194705;1562328524;194624;0;
1562328524;204667;1562328524;204684;1562328524;204543;0;
1562328524;214626;1562328524;214639;1562328524;214462;0;
1562328524;224659;1562328524;224670;1562328524;224580;0;
1562328524;234737;1562328524;234756;1562328524;234598;0;
1562328524;244420;1562328524;244432;1562328524;244319;0;
1562328524;254611;1562328524;254620;1562328524;254537;0;
1562328524;264671;1562328524;264687;1562328524;264555;0;
1562328524;274702;1562328524;274718;1562328524;274573;0;
1562328524;284680;1562328524;284691;1562328524;284593;0;
1562328524;294543;1562328524;294559;1562328524;294411;0;
1562328524;304624;1562328524;304635;1562328524;304531;0;
1562328524;314633;1562328524;314645;1562328524;314549;0;
1562328524;324368;1562328524;324377;1562328524;324268;0;
1562328524;334648;1562328524;334655;1562328524;334587;0;
1562328524;344734;1562328524;344746;1562328524;344605;0;
1562328524;354667;1562328524;354684;1562328524;354524;0;
1562328524;364676;1562328524;364691;1562328524;364544;0;
1562328524;374567;1562328524;374578;1562328524;374462;0;
1562328524;384702;1562328524;384715;1562328524;384580;0;
1562328524;394711;1562328524;394724;1562328524;394599;0;
1562328524;404420;1562328524;404430;1562328524;404318;0;
1562328524;414670;1562328524;414683;1562328524;414536;0;
1562328524;424685;1562328524;424701;1562328524;424556;0;
1562328524;434720;1562328524;434735;1562328524;434575;0;
1562328524;444679;1562328524;444689;1562328524;444594;0;
1562328524;454524;1562328524;454536;1562328524;454414;0;
1562328524;464631;1562328524;464642;1562328524;464530;0;
1562328524;474632;1562328524;474641;1562328524;474549;0;
1562328524;484368;1562328524;484377;1562328524;484268;0;
1562328524;494669;1562328524;494678;1562328524;494586;0;
1562328524;504733;1562328524;504749;1562328524;504605;0;
1562328524;514635;1562328524;514646;1562328524;514524;0;
1562328524;524637;1562328524;524646;1562328524;524543;0;
1562328524;534723;1562328524;534730;1562328524;534662;0;
1562328524;544675;1562328524;544683;1562328524;544580;0;
1562328524;554678;1562328524;554685;1562328524;554599;0;
1562328524;564408;1562328524;564417;1562328524;564319;0;
1562328524;574598;1562328524;574605;1562328524;574536;0;
1562328524;584656;1562328524;584663;1562328524;584555;0;
1562328524;594658;1562328524;594667;1562328524;594574;0;
1562328524;604680;1562328524;604690;1562328524;604594;0;
1562328524;614511;1562328524;614518;1562328524;614412;0;
1562328524;624629;1562328524;624638;1562328524;624530;0;
1562328524;634622;1562328524;634631;1562328524;634549;0;
1562328524;644377;1562328524;644386;1562328524;644269;0;
1562328524;654735;1562328524;654751;1562328524;654588;0;
